Acronym,Full_Spelling
FEP,first ever psychosis
FES,fat embolism syndrome
FESS,functional endoscopic sinus surgery
FEV,forced expiratory volume in 1 second
FEVAR,fenestrated endovascular aortic repair
FFA,free fatty acids
FFD,fixed flexion deformity
FFI,focal fatty infiltration
FFL,fabellofibular ligament
FFP,fresh frozen plasma
FFS,focal fatty sparing
FGI,fluoroscopically guided intervention
FGR,fetal growth restriction
FH,family history
FHM,fetal heart motion
FHR,fetal heart rate
FHS,fetal heart sounds
FHx,family history
FI,for investigation
FID,free induction decay
FIESTA,fast imaging employing steady state acquisition
FIF,forced inspiratory flow
FiNA,fine needle aspiration
FiO2,fraction of inspired oxygen
FIRES,febrile infection-related epilepsy syndrome
FISP,fast imaging with steady-state precession
FJ,facet joint
FL,femur length(obstetric USS)
FLAIR,fluid-attenuated inversion recovery
FLAMES,FLAIR-hyperintense lesions in anti-MOG associated encephalitis with seizures
FLASH,fast low angle shot
FLC,fibrolamellar carcinoma
FLCN-S,folliculin gene-associated syndrome
FLI,flu-like illness
Fluoro,fluoroscopy
FMD,fibromuscular dysplasia
FMF,familial Mediterranean fever
fMRI,functional magnetic resonance imaging
FN,febrile neutropenia
FNA,fine needle aspiration
FNAB,fine needle aspiration biopsy
FNAC,fine needle aspiration cytology
FND,functional neurological disorder
FNE,fiberoptic nasoendoscopy
FNH,focal nodular hyperplasia
FO,foramen ovale
FOB,fecal occult blood
FOBT,fecal occult blood test
FOLFOX,"Fluorouracil, leucovorin (fOLinic acid), OXaliplatin"
FOM,floor of mouth
FONAR,field focussing nuclear magnetic resonance
FOOSH,fall on outstretched hand
FOSIT,feeling of something in the throat
FOV,field of view
FP,fetal pole
FPCT,flat panel CT
FPIES,food protein-induced enterocolitis syndrome
fPSA,free prostate specific antigen
FPS-R,faces pain scale-revised
Fr,French gauge
FRANZCR,Fellow of the Royal Australian and New Zealand College of Radiologists
FRC,functional residual capacity
FRCR,Fellow of the Royal College of Radiologists
FROEM,full range of eye movements
FS,fat saturation
F/S,frames/second
FSE,fast spin echo
FSH,follicle-stimulating hormone
FSHD,facioscapulohumeral muscular dystrophy
FT,Follow-through
fT3,free tri-iodothyronine
fT4,free thyroxine
FTD,frontotemporal dementia
FTS,first trimester screening
FU,fluorouracil
F/U,follow-up
FUEL,FLAIR-variable unilateral enhancement of the leptomeninges
FUO,fever of unknown origin
FV,femoral vein
FVC,forced vital capacity
FVL,"factor V Leiden(V=5, Roman numeral)"
FWHM,full width at half maximum
FWT,full ward test (urine)
Fx,fracture
GABA,gamma-aminobutyric acid
GAD,generalized anxiety disorder
Gad,gadolinium
GAE,granulomatous amoebic encephalitis
GAG,glycosaminoglycan
GAMP,"general anesthesia, manipulation and plaster"
GAVE,gastric antral vascular ectasia
GBEF,gallbladder ejection fraction
GBq,gigabecquerel
GCA,giant cell arteritis
GCA,global cortical atrophy scale
GCKD,glomerulocystic kidney disease
GCS,Glasgow coma scale
GCV,great cardiac vein
Gd,gadolinium
GDA,gastroduodenal artery
GDC,gastric duplication cyst
GDM,gestational diabetes mellitus
Ge,germanium
GERD,gastro-esophageal reflux disease
GEP-NET,gastroenteropancreaticneuroendocrine tumor
GFR,glomerular filtration rate
GGO,ground glass opacity(ies)
GGT,gamma-glutamyl transferase
GH,growth hormone
GHB,gamma hydroxybutyrate
GHL,glenohumeral ligament
GHRH,growth hormone releasing hormone
GIF,graphics interchange format
GIFT,gamete intrafallopian transfer
GIST,gastrointestinal stromal tumor
GIT,gastrointestinal tract
GLF,ground-level fall
Gln,glutamine
Glu,glutamic acid
GLUT,glucose transporter
Gly,glycine
GM,grey matter
GMC,General Medical Council (UK)
GNB,Gram-negative bacteria
GnRH,gonadotropin-releasing hormone
GOC,glandular odontogenic cyst
GoF,gain of function
GEJ,gastro-esophageal junction
GOMER,get out of my emergency room
GOO,gastric outlet obstruction
GP,general practice
GRASS,gradient acquisition in steady state
GRE,gradient echo
Gs,gauss
G&S,group and save
GSD,gestational sac diameter
GSV,great saphenous vein
GSW,gun shot wound
GTCS,generalized tonic-clonic seizure
GTDC,gastrointestinal tract duplication cyst
GTN,glyceryl trinitrate
GTV,gross target volume
GUCH,grown up congenital heart disease
GUM,genitourinary medicine
GUT,genitourinary tract
GVHD,graft versus host disease
GYN,gynecology (North American abbreviation)
H/A,headache
H&N,head and neck
HA,headache
HAI,healthcare-associated infection
HAMA,human anti-mouse antibodies
HANAC,"hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome"
HAND,HIV-associated neurocognitive disorders
HAP,hospital-acquired pneumonia
HAR,high anterior resection
HASTE,half-Fourier acquisition single shot turbo spin-echo(Siemens)
HAV,hepatitis A virus
Hb,hemoglobin
HbC,hemoglobin C
HbCO,carboxyhemoglobin
HBE,hypertensive brainstem encephalopathy
HbF,fetal hemoglobin
HBO,hyperbaric oxygen
HbS,hemoglobin sickle cell
HbSC,hemoglobin sickle cell C
HBV,hepatitis B virus
HC,hydrocephalus
HCA,healthcare assistant
HCC,hepatocellular carcinoma
HCG,human chorionic gonadotropin
HCLA,hydrocortisone and local anesthetic
HCM,hypertrophic cardiomyopathy
HCP,hydrocephalus
HCPA,Healthcare-associated bacterial pneumonia
HCT,hematocrit
HCV,hepatitis C virus
HCW,healthcare worker
HD,haemodialysis
HDL,high density lipoprotein
HDP,hydroxyethylene diphosphonate
HDR,holodiastolic flow reversal
HDU,high dependency unit
HDV,hepatitis D virus
HE,hepatic encephalopathy
HELLP,"hemolysis, elevated liver enzymes, and low platelets"
HER2,human epidermal growth factor receptor 2
HEV,hepatitis E virus
HF,heart failure
HFD,high fiber diet
HFNP,high flow nasal prongs
HFpEF,heart failure with preserved ejection fraction
HFrEF,heart failure with reduced ejection fraction
HGG,high grade glioma
HGPIN,high-grade prostatic intraepithelial neoplasia
HH,hepatic hydrothorax
H&H,hemoglobinand hematocrit
HHD,hypertensive heart disease
HHS,hyperosmolar hyperglycemic state
HHT,hereditary hemorrhagic telangiectasia
HHV,human herpesvirus
HI,head injury
HIA,head injury assessment
HIDA,hepatobiliary iminodiacetic acid
HIE,neonatal hypoxic-ischemic encephalopathy
HINTS,"Head Impulse, Nystagmus, and Test of Skew (for central vertigo)"
HIPAA,Health Insurance Portability and Accountability Act 1996 (US)
HIPEC,hyperthermic intraperitoneal chemotherapy
HIS,hospital information system
Histo,histology
Histopath,histopathology
HIT,heparin-induced thrombocytopenia
HIV,human immunodeficiency virus
HIVAN,HIV-associated nephropathy
HL,Hodgkin lymphoma
HL7,health level-7
HLA,human leukocyte antigen
HLCNH,high-level care nursing home
HLD,hyperlipidemia
HLH,hemophagocytic lymphohistiocytosis
HLHS,hypoplastic left heart syndrome
HMB,heavy menstrual bleeding
HMD,hyaline membrane disease
HMG,human menopausal gonadotropin
HN,hydronephrosis
HNPCC,hereditary non-polyposis colorectal cancer
HO,heterotopic ossification
H/O,history of
HOCM,hypertrophic obstructive cardiomyopathy
HOD,hypertrophic olivary degeneration
Hon,honorary
HoLEP,holmium laser enucleation of the prostate​
HOP,head of pancreas
HP,hypersensitivity pneumonitis
H&P,history and physical examination
HPB,hepatopancreaticobiliary
HPC,history of presenting complaint/condition
HPE,histopathological examination
HPF,high-powered field of view
HPNST,hybrid peripheral nerve sheath tumor
HPOA,hypertrophic pulmonary osteoarthropathy
HPT,home pregnancy test
HPTX,hemopneumothorax
HPV,human papillomavirus
HR,heart rate
HRAD,hyperreactive airway disease
HRBV,high resolution BOLD venography
HRCT,high resolution CT
HRT,hormone-replacement therapy
HR-Tc-99m,hydrolyzed reduced technetium-99m
HS,at bedtime (Latin: hora somni)
HSC,hysteroscopy
HSCT,haemopoietic stem cell transplant
HSDNM,"heart sounds dual, no murmur"
HSG,hysterosalpingogram
HSM,hepatosplenomegaly
HSMVA,high speed motor vehicle accident
HSP,Henoch-Schonlein purpura
HSV,herpes simplex virus
HT,hypertension
HTLV,human T-cell lymphotropic virus
HTN,hypertension
HTO,high tibial osteotomy
HTX,hemothorax
HU,Hounsfield unit
HUN,hydroureteronephrosis
HUS,hemolytic uremic syndrome
HV,hepatic vein
HVAD,Medtronic HeartWare Ventricular Assist Device
HVL,half value layer
HX,history
HZ,homozygote
IAA,interrupted aortic arch
IABP,intra-aortic balloon pump
IAC,internal auditory (or acoustic) canal
IAH,intra-abdominal hypertension
IAM,internal auditory (or acoustic) meatus
IAS,interatrial septum
IASLC,International Association for the Study of Lung Cancer
IBD,inflammatory bowel disease
IBP,inflammatory back pain
IBS,irritable bowel syndrome
IBUS,intrabronchial ultrasound
IC,inspiratory capacity
ICA,internal carotid artery
ICAD,intracranial atherosclerotic disease
ICB,intracranial bleed
ICC,intercostal catheter
ICD,implantable cardioverter-defibrillator
ICH,intracranial hemorrhage
ICI,intracervical insemination
ICP,intracranial pressure
ICRP,International Commission on Radiological Protection
ICRU,International Commission on Radiation Units and Measurements
ICSI,intracytoplasmic sperm injection
ICU,intensive care unit
ICV,ileocecal/ileocolic valve
ID,infectious diseases
I&D,incision and drainage
IDA,iron deficiency anemia
IDC,invasive ductal carcinoma
IDCP,intraductal carcinomas of the prostate
IDDM,insulin-dependant diabetes mellitus
IDOR,International Day of Radiology
IDR,iodine delivery rate
IE,infective endocarditis
IECF,infective exacerbations of cystic fibrosis
IEM,inborn errors of metabolism
IEP,interstitial edematous pancreatitis
IF,incidental finding
IFFI,intraperitoneal focal fat infarction
IFI,invasive fungal infection
IFN,interferon
IFR,infection fatality rate
IGA,Immunoglobulin A
IGHL,inferior glenohumeral ligament
IGRA,interferon gamma release assay
IGRT,image-guided radiotherapy
IGS,image-guided surgery
IGTT,insulin and glucose tolerance test
IH,inguinal hernia
IHD,ischemic heart disease
IHE,integrating the healthcare enterprise
IHSS,idiopathic hypertrophic subaortic stenosis
IHT,interhospital transfer
II,stage two
IIA,internal iliac artery
IIH,idiopathic intracranial hypertension
III,stage three
IIIB,cancer stage 3B
IIP,idiopathic interstitial pneumonia
IJ,internal jugular
IJD,inflammatory joint disease
IIV,internal iliac vein
IJV,internal jugular vein
IL,intralymphatic
ILA,interstitial lung abnormality
ILC,invasive lobular carcinoma
ILD,interstitial lung disease
Ile,isoleucine (three letter amino acid code)
ILGA,inferior lateral genicular artery
ILI,influenza-like illness
ILR,implantable loop recorder
ILS,immediate life support
IM,intramuscular
IMA,inferior mesenteric artery
IMBP,intramural blood pool
IMG,international medical graduate
IMGA,inferior medial genicular artery
IMP,impression
IMRT,intensity-modulated radiation therapy
INH,isoniazid (isonicotinylhydrazine)
INN,International Nonproprietary Name
INO,internuclear ophthalmoplegia
iNPH,idiopathic normal pressure hydrocephalus
INR,international normalized ratio
Insp,inspiratory
INX,infliximab
IO,intraosseous
IOC,intraoperative cholangiogram
IOF,inferior orbital fissure
IOFB,intraocular foreign body
IOL,intraocular lens implant
IOP,interstitial edematous pancreatitis
IOR,immature oocyte retrieval
IOUS,intraoperative ultrasonography
IOV,inferior ophthalmic vein
IP,inpatient
IPAA,ileal pouch - anal anastomosis
IPF,idiopathic pulmonary fibrosis
IPHC,intraperitoneal hyperthermic chemoperfusion
IPJ,interphalangeal joint
IPMN,intraductal papillary mucinous neoplasm
IPMT,intraductal papillary mucinous tumor
IPS,idiopathic pulmonary syndrome
IPV,inactivated polio vaccine
IQ,intelligence quotient
IR,interventional radiology
IRA,ileorectal anastomosis
IRDS,infant respiratory distress syndrome
IRIS,immune reconstitution inflammatory syndrome
IR(ME)R,Ionizing Radiation (Medical Exposure) Regulations (UK)
IRR,Ionizing Radiation Regulations (UK)
IRV,inspiratory reserve volume
ISO,International Standards Organization
ISQ,in status quo
ISR,intra stent restenosis
ISS,inferior sagittal sinus
ISUP,International Society of Urological Pathology
IT,intrathecal
ITA,internal thoracic artery
ITB,iliotibial band
ITI,intratubal insemination
ITN,incidental thyroid nodules
ITP,immune thrombocytopenia
ITU,intensive therapy unit 
IU,international unit
IUCD,intrauterine contraceptive device
IUD,intrauterine device
IUGR,intrauterine growth retardation/restriction
IUI,intrauterine insemination
IUO,inflammation of unknown origin
IUTD,immunisations up to date
IV,intravenous
IVC,inferior vena cava
IVCF,inferior vena cava filter
IVD,intervertebral disc
IVDA,intravenous drug abuser
IVDU,intravenous drug user
IVF,in vitro fertilisation
IVF/ET,in vitro fertilisation and embryo transfer
IVIg,intravenous immunoglobulin
IVH,intraventricular hemorrhage
IVL,intravascular lymphoma
IVMP,intravenous pulse methylprednisolone
IVOC,intervertebral osteochondrosis
IVP,intravenous pyelogram
IVS,interventricular septum
IVU,intravenous urography
IVUS,intravascular ultrasound
IWOB,increased work of breathing
IX,investigation
JAK2,janus kinase 2
JC virus,John Cunningham virus
JDM,juvenile dermatomyositis
JE,Japanese encephalitis
JEV,Japanese encephalitis virus
JNA,juvenile nasopharyngeal angiofibroma
JIA,juvenile idiopathic arthritis
JLS,Jarcho-Levin syndrome
JPA,juvenile pilocytic astrocytoma
JPEG,joint photographic experts group
JRA,juvenile rheumatoid arthritis
JVP,jugular venous pressure
JVPNE,jugular venous pressure not elevated
JZ,junctional zone
KAP,kerma area product
KB,kilobyte
KCOT,keratocystic odontic tumor
KDOQI,Kidney Dialysis Outcomes Quality Initiative
Kerma,kinetic energy released per unit mass
KFD,Kikuchi-Fujimoto disease
KG,kilogram
KOT,keratocystic odontic tumor
Kr,krypton
KUB,"kidneys, ureters, and bladder"
kV,kilovolt
kVp,peak kilovoltage
LA,left atrium
La,lanthanum
LAD,left anterior descending artery
LAE,left atrial enlargement
LAGB,laparoscopic adjustable gastric banding
LAO,left anterior oblique
LAP,laparoscopy/laparoscopic
LAR,low anterior resection
LARC,long-acting reversible contraceptive
LAS,levator ani syndrome
LASH,laparoscopic-assisted supracervical hysterectomy
LATE,limbic-predominant age-related TDP-43 encephalopathy
LAUP,laser-assisted uvulopalatoplasty
LAVH,laparoscopic-assisted vaginal hysterectomy
LAZ,left apical zone
LB,loose body
lb,pound
LBBB,left bundle branch block
LBO,large bowel obstruction
LBP,low blood pressure
LBSL,leukoencephalopathy with brainstem and spinal cord involvement and lactate elevation
LC,lymphangitis carcinomatosis
LCA,left coronary artery
LCCA,left common carotid artery
LCD,liquid crystal display
LCH,Langerhans cell histiocytosis
LCIS,lobular carcinoma in situ
LCL,lateral collateral ligament
LCNEC,large cell neuroendocrine carcinoma
LCRD,localized cystic renal disease
LCx,left circumflex artery
LD,lethal dose
LDH,lactate dehydrogenase
LDL,low-density lipoprotein
LE,left eye
LED,light-emitting diode (display)
LEOPARD,"lentigines, ECG conduction abnormalities, ocular hyperteloris, pulmonary stenosis, abnormal genitals, retardation of growth, deafness (sensorineural)"
LESA,large endolymphatic sac anomaly
LETM,longitudinally extensive transverse myelitis
Leu,leucine
LF,little finger
LFC,lateral femoral condyle
LFT,lateral flow test
LFTs,liver function tests
LGA,large for gestational age
LGB,laparoscopic gastric banding
LGE,late gadolinium enhancement
LGG,low-grade glioma
LGIB,lower gastrointestinal bleeding
LGMD,limb-girdle muscular dystrophy
LGN,lateral geniculate nucleus
LGNHL,low grade non-Hodgkin lymphoma
LH,luteinising hormone
LHA,left hepatic artery
LHD,left hepatic duct
LHV,left hepatic vein
LHS,left heart strain
LIF,left iliac fossa
LIH,left inguinal hernia
LIMA,left internal mammary artery
LIP,lymphoid interstitial pneumonia
LIQ,lower inner quadrant (breast)
LI-RADS,liver imaging reporting and data system
LITA,left internal thoracic artery
LJT,Lester Jones tube
LK,left kidney
LKMP,last known menstrual period
LKN,last known normal
LKW,last known well
LL,lower limb
LLC,low-level care
LLE,left lower extremity
LLETZ,large loop excision of the transformation zone
LLIF,lateral lumbar interbody fusion
LLL,left lower lobe
LLP,low lying placenta
LLQ,left lower quadrant
LLZ,left lower zone
LM,lateral meniscus
Lm,lumen (SI unitof luminous flux)
LMA,laryngeal mask airway
LMB,left main bronchus
LMCA,left main coronary artery
LMMC,lipomyelomeningocele
LMO,lateromedial oblique
LMP,last menstrual period
LMV,lateral mesencephalic vein
LMWH,low molecular weight heparin
LN,lymph node
LNT,linear no-threshold theory
LO,left ovary
LOA,loss of appetite
LOC,loss of consciousness
LOCM,low-osmolar contrast medium
LOLOL,little old lady off legs
LOP,left occipitoposterior
LOQ,lower outer quadrant (breast)
LOS,late-onset (neonatal) sepsis
LOT,left occipitotransverse
LOV,loss of vision
LOW,loss of weight
LP,line pair
LPA,left pulmonary artery
Lp(a),lipoprotein a
LPD,lymphoproliferative disease
LPF,low-powered field of view
LPL,lymphoplasmacytic lymphoma
LPM,lymphoplasmacyte-rich meningioma
LP/mm,line pairs/millimeter
LR,likelihood ratio
LRA,left renal artery
LRP,laparoscopic
LRRK2,leucine-rich repeat kinase 2
LRTI,lower respiratory tract infection
LS,lumbosacral
LSCA,left subclavian artery
LSCC,lateralsemicircular canal
LSCS,lower segment cesarian section
LSD,lysergic acid diethylamide
LSP,left sacroposterior position
LSMFT,liposclerosing myxofibrous tumor
LSTV,lumbosacral transitional vertebra
LSV,left subclavian vein
LSW,left-sided weakness
LT,left
LTI,lateral trochlear inclination
Lu,lutetium
LUCL,lateral ulnar collateral ligament
LUE,left upper extremity
LUL,left upper lobe (of the lung)
LUO,left ureteric orifice
LUQ,left upper quadrant
LURD,living unrelated donor
LUS,lower uterine segment
LUSCS,lower uterine segment cesarian section
LUTS,lower urinary tract symptoms
LUZ,left upper zone
LV,left ventricle
LVA,left ventricular aneurysm
LVAD,left ventricular assist device
LVD,left ventricular dilatation
LVEDD,left ventricular end diastolic diameter
LVEF,left ventricular ejection fraction
LVF,left ventricular failure
LVH,left ventricular hypertrophy
LVI,lympho vascular invasion
LVMI,left ventricular mass index
LVO,large vessel occlusion
LVOT,left ventricular outflow tract
LWOT,left without treatment
LVP,large volume paracentesis
LWT,left without treatment
Lx,lymphadenopathy
Ly,lymphoma
Lys,lysine
Lytes,electrolytes
LZ,lower zone
M1-M4,segments ofmiddle cerebral artery
MA,mitral annulus
MAC,Mycobacterium avium complex
MACE,major adverse cardiovascularevent
MACI,matrix-induced autologous chondrocyte implantation
MAD,mitral annulus disjunction
MAFLD,metabolic associated fatty liver disease
MAG,magnification
MAG-3,mercaptoacetyltriglycine
MAGiC,magnetic resonance image compilation (GE)
MAI,minimal aortic injury
MAL,mid axillary line
MALA,metformin-associated lactic acidosis
MAM,mammogram
MAMMO,mammogram
MAO,monoamine oxidase
MAP,mean arterial pressure
MAPSE,mitral annular plane systolic excursion
mAs,milliampere-seconds
MAVRIC,multiacquisition variable-resonance image combination(GE)
MAVRIC-SL,multiacquisition variable-resonance image combination
Maxfax,maxillofacial surgery/surgeon
MB,myoglobin
MBA,motorbike accident
MBBS,bachelor of medicine and bachelor of surgery
MBC,motorbike collision
mBC,metastaticbreast cancer
MBL,monoclonal B-cell lymphoma
MBq,megabecquerel
MC,metacarpal
M/C,miscarriage
MCA,middle cerebral artery
MCD,molybdenum cofactor deficiency
MCG/mcg,microgram (preferred to μg in medical notes)
MCI,mass casualty incident
mCi,millicurie
MCL,mid clavicular line
MCPJ,metacarpophalangeal joint
mCRC,metastatic colorectal cancer
mCRPC,metastatic castration-resistantprostate cancer
MCS,"microscopy, culture, and sensitivity"
MCTD,mixed connective tissue disease
MCV,middle cardiac vein
MD,doctor of medicine 
MDA,MD Anderson criteria for assessing response of bone metastases to treatment
MDCT,multidetector CT
MDD,major depressive disorder
MDI,multidirectional instability(of shoulder)
MD-IPMN,main duct type intraductal papillary mucinous neoplasm
MDM,multidisciplinary (team) meeting
MDMA,"3,4-methylenedioxymethamphetamine"
MDP,methylene-diphosphonate
MDR-TB,multidrug-resistant tuberculosis
MDT,multidisciplinary team
MDTM,multidisciplinary team meeting
ME,myalgic encephalomyelitis
ME/CFS,myalgic encephalomyelitis/chronic fatigue syndrome
MEB,muscle-eye-brain disease
MEDIC,multiecho data image combination (Siemens)
MEDS,medication
MEG,megalencephaly
MELAS,mitochondrial encephalopathy with lactic acidosis and stroke-like episodes
MELD,model of end-stage liver disease
MEN,multiple endocrine neoplasia
MEP,maximum expiratory pressure
MERGE,multiple-echo recombined gradient echo (GE)
MERRF,myoclonic epilepsy with red ragged fibers
MESA,microsurgical epididymal sperm aspiration
MET,metastasis
MetHb,methemoglobin
Mets,metastases
MF,Myelofibrosis
MFC,medial femoral condyle
MFFE,multiecho fast field echo (Philips)
MFH,malignant fibrous histiocytoma
MG,mammogram
MGA,middle genicular artery
MGHL,middle glenohumeral ligament
mGy,milligray
MGUS,monoclonal gammopathy of undetermined significance
MH,medical history (or M/H)
MHC,major histocompatibility complex
MHV,middle hepatic vein
MHz,megahertz
MI,myocardial infarct
MIBC,muscle invasive bladder cancer
MIBG,metaiodobenzylguanidine
MIBI,methoxyisobutylisonitrile
MIDCAB,minimally invasive direct coronary artery bypass
MIES,mask induced exhaustion syndrome
Min,minute
MinIP,minimum intensity projection
MINOCA,myocardial infarction with non-obstructive coronary arteries
MIP,maximum intensity projection
MIS-C,multisystem inflammatory syndrome in children
MISME,"multiple inherited schwannomas, meningiomas, ependymomas"
ML,middle lobe
MLC,multileaf collimator
MLO,mediolateral oblique
MLS,midline shift
MM,multiple myeloma
M&M,morbidity and mortality
MMC,myelomeningocele
MMF,mycophenolate mofetil
MMN,multifocal motor neuropathy
MMP,matrix metalloproteinase
MMR,"measles,mumps, andrubella(vaccine)"
MMRV,"measles,mumps, rubella, and varicella (vaccine)"
MMSE,mini mental status exam
MMUS,magnetomotive ultrasound
Mn,manganese
MNG,multinodular goiter
MO,myositis ossificans
MoCA,Montreal cognitive assessment
MOCD,molybdenum cofactor deficiency
Mol,mole (SI unitof quantity of substance)
MOTSA,multiple overlapping thin slab acquisition
MPA,"main pulmonary artery, microscopic polyangiitis"
mPAP,mean pulmonary arterial pressure
MPC,metastatic pulmonary calcification
MPD,main pancreatic duct
mPFL,medial patellofemoral ligament
MPGN,membranoproliferative glomerulonephritis
MPN,myeloproliferative neoplasms
MPO,myeloperoxidase
MPP,Mycoplasma pneumoniaepneumonia
MPR,multiplanar reformation or reformats
MPRAGE,magnetization-prepared rapid gradient echo
MPS,mucopolysaccharidoses
MPV,main portal vein
MR,magnetic resonance
MRA,magnetic resonance angiogram
MRCP,magnetic resonance cholangiopancreatography
MRE,magnetic resonance enterography
MRF,mesorectal fascia
MRI,magnetic resonance imaging
MRL,magnetic resonance lymphangiography
MRN,medical record number
mRNA,messenger ribonucleic acid
MRONJ,medication-related osteonecrosis of the jaw
MRP,magnetic resonance perfusion
MRPA,magnetic resonance pulmonary angiography
MRPI,magnetic resonance parkinsonism index
MRS,magnetic resonance spectroscopy
MRSA,Methicillin-resistant Staphylococcus aureus
MRV,magnetic resonance venogram
MS,mitral stenosis
MSA,multisystem atrophy
MSBD,mixed sclerosing bone dysplasia
MSD,mean sac diameter
MSE,mental status exam
MSH,melanocyte-stimulating hormone
MSK,musculoskeletal
MSM,men who have sex with men
MSSA,methicillin-susceptible/sensitiveStaphylococcus aureus
MSSU,midstream sample of urine
MSU,midstream urine
MSUD,maple syrup urine disease
mSv,millisievert
MT,metatarsal
MTA score,medial temporal lobe atrophy score
MTC,medullary thyroid carcinoma
MTOP,medical termination of pregnancy
MTPJ,metatarsophalangeal joint
MTS,mesial temporal sclerosis
MTSS,medial tibial stress syndrome
MTT,mean transit time
MTX,methotrexate
MUA,manipulation under anesthesia
Multips,multipara
MV,mitral valve
MVA,motor vehicle accident
MVC,motor vehicle crash (or collision)
MVE,Murray Valley encephalitis
MVO,microvascular obstruction
MVP,mitral valve prolapse
MVR,mitral valve replacement
MVV,maximal voluntary ventilation
MWA,microwave ablation
MWF,"Monday, Wednesday, and Friday"
Mx,management
MZ,mid zone
"N0, N1, N2, N3",nodal stages (TNM)
N2,nitrogen gas (dinitrogen)
N2O,nitrous oxide
Na,sodium
NAA,N-acetylaspartic acid
NAC,N-acetylcysteine
NACT,neoadjuvant chemotherapy
NAD,no abnormality detected
NAI,non-accidental injury
NAFLD,non-alcoholic fatty liver disease
NAPH,non-aneurysmal perimesencephalic subarachnoid hemorrhage
NASCET,North American symptomatic carotid endarterectomy trial
NASH,non-alcoholic steatohepatitis
NB,neuroblastoma
NBCA,N-butyl-2 cyanoacrylate (embolization glue)
NBF,Neville Barnes forceps
NBM,nil by mouth
NBTE,non-bacterial thrombotic endocarditis
NC,non-contrast
NCAP,neck chest abdomen pelvis
NCL,neuronal ceroid lipofuscinosis
NCP,nursing care plan
Nd,neodymium
ND,nasoduodenal
NDT,nasoduodenal tube
NEDA,no evidence of disease activity (usually multiple sclerosis)
NEC,not elsewhere classified
NERD,non-erosive reflux disease
NESB,non-English speaking background
NEX,number ofexcitations
NF1,neurofibromatosis type 1
NF2,neurofibromatosis type 2
NFA,no fixed address
NFR,not for resuscitation
NFT,neurofibrillary tangle
NG,nasogastric
ng,nanogram/nanogramme
NGS,next-generation sequencing
NG,nasogastric
NGT,nasogastric tube
NH,nursing home
NHL,non-Hodgkin lymphoma
NHR,nursing home resident
NHS,National Health Service (UK)
NICE,National Institute for Health and Care Excellence (UK)
NICU,neonatal intensive care unit
NIDDM,non-insulin-dependent diabetes mellitus
NIH,National Institutes of Health (US)
NIPPV,non-invasive positive pressure ventilation
NIS,sodium-iodide symporter
NIV,non invasive ventilation
NJ,nasojejunal
NJT,nasojejunal tube
NKA,no known allergies
NKDA,no known drug allergies
NLD,nasolacrimal duct
NLP,natural language processing
NMDA,N-methyl-D-aspartic acid
NMIBC,non-muscle invasivebladder cancer
NMO,neuromyelitis optica
NMR,nuclear magnetic resonance
NMV,net magnetization vector
NNH,number needed to harm
NNT,number needed to treat
NOAC,novel oral anticoagulant agent
NOE,naso-orbitoethmoid
NOF,neck of femur
NOH,neck of humerus
NOS,not otherwise specified
Norad,norepinephrine
NP,nasopharyngeal
NPC,nasopharyngeal carcinoma
NPH,normal pressure hydrocephalus
NPO,nothing by mouth
NPRS,numeric pain rating scale
NPPV,non-invasive positive pressure ventilation
NPV,negative predictive value
NPWT,negative pressure wound therapy
NRFHR,non-reassuring fetal heart rate
NRI,nerve root injection
NRS,numeric rating scale
NSAID,non-steroidal anti-inflammatory drug
NSCLC,non-small cell lung cancer
NSCLCA,non-small cell lung cancer
NSE,neuron specific enolase
NSF,nephrogenic systemic fibrosis
NSGCT,non-seminomatous germ cell tumor
NSIP,non-specific interstitial pneumonia
NSR,normal sinus rhythm (normal heart rhythm)
NSTEMI,non-ST elevation myocardial infarct
NT,nuchal translucency
NTM,non-tuberculous Mycobacterium
NUCOG,neuropsychiatry unit cognitive assessment tool
nullips,nullipara
N&V,nausea and vomiting
N/V,"nausea, vomiting"
NVD,"nausea, vomiting, diarrhea"
NWB,non-weight bearing
Nx,nodes cannot be assessed
NYHA,New York Heart Association
NZ,New Zealand
O&G,obstetrics and gynecology
OA,osteoarthritis
OAB,overactive bladder
OAC,oral anticoagulant
OAML,orbital adnexal MALT lymphoma
OAR,organ at risk
OAS,orbital apex syndrome
OAT,osteochondral autograft transplantation
OB/GYN,obstetrics and gynecology
Obl,oblique
OBO,on background of
Obs,observations
OC,optic chiasm
OCA,osteochondral allograft transplantation
OCD,obsessive-compulsive disorder
OCG,oral cholecystogram
OCI,osteitis condensans ilii
OCL,osteochondral lesion
OCP,oral contraceptive pill
OCS,otic capsule sparing (temporal bone fractures)
OCT,optical coherence tomography
OCV,otic capsule violating (temporal bone fractures)
OD,oroduodenal
ODT,oroduodenal tube
OE,otitis externa
OE-MRI,oxygen-enhanced magnetic resonance imaging
O/E,on examination
OFC,osteitis fibrosa cystica
OFD,occipitofrontal diameter
OFDI,optical frequency domain imaging
OG,orogastric
OGS,orthognathic surgery
OGT,orogastric tube
OHCA,out-of-hospital cardiac arrest
OHS,obesity hypoventilation syndrome
OHSS,ovarian hyperstimulation syndrome
OI,osteogenesis imperfecta
OLB,open lung biopsy
